,0
0,Arkansas
1,Colorado
2,Connecticut
3,Delaware
4,Georgia
5,Idaho
6,Indiana
7,Kansas
8,Louisiana
9,Maine
10,Maryland
11,Michigan
12,Minnesota
13,Mississippi
14,Missouri
15,Montana
16,Nebraska
17,New Hampshire
18,North Carolina
19,North Dakota
20,Ohio
21,Oklahoma
22,Oregon
23,Rhode Island
24,South Carolina
25,South Dakota
26,Tennessee
27,Utah
28,Vermont
29,Virginia
30,West Virginia
31,Wisconsin
32,Wyoming
